No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,,,,,,
1,4,,APPENDIX B,PART A,2,a4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(4) Leakage of any fluid which resulted in a fire hazard or possible hazardous contamination of aircraft structure, systems, or equipment, or which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,2,a5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(5) Fuel system malfunctions or defects, which affected fuel supply and distribution.",,,,,,
1,4,,APPENDIX B,PART A,2,a6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,(6) Malfunction or defect of any indication system results in misleading indications to the crew.,,,,,,
1,4,,APPENDIX B,PART A,2,a7,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(7) Abnormal functioning of flight controls such as asymmetric or stuck/jammed flight  controls (for example: lift (flaps/slats), drag (spoilers), attitude control (ailerons, elevators,
rudder) devices).",,,,,,
1,4,,APPENDIX B,PART A,2,b1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(b) Propulsion (including engines, propellers, and rotor systems) and auxiliary power units (APUs)
(1) Significant malfunction of any part contributes to the failure of the propeller or powerplant.",,,,,,
1,4,,APPENDIX B,PART A,2,b2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,(2) Damage to or failure of main/tail rotor transmission or equivalent systems.,,,,,,
1,4,,APPENDIX B,PART A,2,b3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(3) Flameout, an in-flight shutdown of an engine, or shut down of APU during ETOPS (Extended Range Twin-engine Aircraft Operations) or operation under MEL (Minimum Equipment List).",,,,,,
1,4,,APPENDIX B,PART A,2,b4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(4) Engine operating limitation exceedance, including Overspeed or inability to control the speed of any high-speed rotating component (for example, APU, air starter, air cycle machine, air turbine motor, propeller, or rotor).",,,,,,
1,4,,APPENDIX B,PART A,2,b5(i),-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(5) Failure or malfunction of any part of an engine, powerplant, APU, or transmission resulting in any one or more of the following:
(i) thrust-reversing system failing to operate as commanded;",,,,,,
1,4,,APPENDIX B,PART A,2,b5(ii),-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,"(ii)inability to control power, thrust, or rpm (revolutions per minute);",,,,,,
1,4,,APPENDIX B,PART A,2,b5(iii),-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Technical Occurrences,(iii) non-containment of components/debris.,,,,,,
1,4,,APPENDIX B,PART A,3,a,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Interaction with Air Navigation Services(ANS) and Air Traffic Management(ATM),"(3) Interaction with Air Navigation Services (ANS) and Air Traffic Management (ATM)
(a) Unsafe ATC (Air Traffic Control) clearance.",,,,,,
1,4,,APPENDIX B,PART A,3,b,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Interaction with Air Navigation Services(ANS) and Air Traffic Management(ATM),(b) Prolonged loss of communication with ATS (Air Traffic Service) or ATM Unit.,,,,,,
1,4,,APPENDIX B,PART A,3,c,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Interaction with Air Navigation Services(ANS) and Air Traffic Management(ATM),(c) Conflicting instructions from different ATS Units potentially leads to a loss of separation.,,,,,,
1,4,,APPENDIX B,PART A,3,d,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Interaction with Air Navigation Services(ANS) and Air Traffic Management(ATM),"(d) Misinterpretation of radio communication which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,3,e,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Interaction with Air Navigation Services(ANS) and Air Traffic Management(ATM),"(e) Intentional deviation from ATC instruction which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,4,a,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,"(4) Emergencies and other Critical Situation
(a) Any event leading to the declaration of an emergency (‘Mayday’ or ‘PAN call’).",,,,,,
1,4,,APPENDIX B,PART A,4,b,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,"(b) Any burning, melting, smoke, fumes, arcing, overheating, fire or explosion.",,,,,,
1,4,,APPENDIX B,PART A,4,c,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,"(c) Contaminated air in the cockpit or passenger compartment, which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,4,d,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(d) Failure to apply the correct non-normal or emergency procedure by the flight or cabin crew to deal with an emergency.,,,,,,
1,4,,APPENDIX B,PART A,4,e,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(e) Using any emergency equipment or non-normal procedure affecting in-flight or landing performance.,,,,,,
1,4,,APPENDIX B,PART A,4,f,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,"(f) Failure of any emergency or rescue system or equipment that has or could have endangered the aircraft, its occupants, or any other person..",,,,,,
1,4,,APPENDIX B,PART A,4,g,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(g) Uncontrollable cabin pressure.,,,,,,
1,4,,APPENDIX B,PART A,4,h,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(h) Critically low fuel quantity or fuel quantity at destination below required final reserve fuel.,,,,,,
1,4,,APPENDIX B,PART A,4,i,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(i) Any use of crew oxygen system by the crew.,,,,,,
1,4,,APPENDIX B,PART A,4,j,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(j) Incapacitation of any cockpit crew or cabin crew results in the reduction below the minimum certified crew complement.,,,,,,
1,4,,APPENDIX B,PART A,4,k,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Emergencies and other Critical Situation,(k) Crew fatigue impacts or potentially impacts their ability to perform their flight duties safely.,,,,,,
1,4,,APPENDIX B,PART A,5,a,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(5) External Environment and Meteorology
(a) A collision or near-collision with another aircraft, terrain, or obstacle, including vehicles.",,,,,,
1,4,,APPENDIX B,PART A,5,b,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(b) ACAS RA (Airborne Collision Avoidance System, Resolution Advisory).",,,,,,
1,4,,APPENDIX B,PART A,5,c,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(c) Activation of genuine ground collision system such as GPWS (Ground Proximity Warning System)/TAWS (Terrain Awareness and Warning System) warning.,,,,,,
1,4,,APPENDIX B,PART A,5,d,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(d) Wildlife strike, including bird strike.",,,,,,
1,4,,APPENDIX B,PART A,5,e,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(e) Foreign object damage/debris (FOD).,,,,,,
1,4,,APPENDIX B,PART A,5,f,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(f) Unexpected encounter of poor runway surface conditions.,,,,,,
1,4,,APPENDIX B,PART A,5,g,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(g) Wake-turbulence encounters.,,,,,,
1,4,,APPENDIX B,PART A,5,h,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(h) Interference with the aircraft by firearms, fireworks, flying kites, laser illumination, high-powered lights, lasers, Remotely Piloted Aircraft Systems, model aircraft, or similar means.",,,,,,
1,4,,APPENDIX B,PART A,5,i,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(i) A lightning strike that resulted in damage to the aircraft or loss or malfunction of any aircraft system.,,,,,,
1,4,,APPENDIX B,PART A,5,j,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(j) A hail encounter that resulted in damage to the aircraft or loss or malfunction of any aircraft system.,,,,,,
1,4,,APPENDIX B,PART A,5,k,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(k) Severe turbulence encounter or any encounter resulting in injury to occupants or deemed to require a ‘turbulence check’ of the aircraft.,,,,,,
1,4,,APPENDIX B,PART A,5,l,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(l) A significant wind shear or thunderstorm encounter which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART A,5,m,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,"(m) Icing encounter resulting in handling difficulties, damage to the aircraft, or loss or malfunction of any aircraft system.",,,,,,
1,4,,APPENDIX B,PART A,5,n,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,External Environment and Meteorology,(n) Volcanic ash encounter.,,,,,,
1,4,,APPENDIX B,PART A,6,a,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Security,(a) Bomb threat or hijack.,,,,,,
1,4,,APPENDIX B,PART A,6,b,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Security,"(b) Difficulty in controlling intoxicated, violent, or unruly passengers.",,,,,,
1,4,,APPENDIX B,PART A,6,c,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Security,(c) Discovery of a stowaway.,,,,,,
1,4,,APPENDIX B,PART B,,,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Part B – Other than Transport Aircraft and commuter category aircraft,Part B – Other than Transport Aircraft and commuter category aircraft,,,,,,
1,4,,APPENDIX B,PART B,1,a1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","1. Other than Transport Aircraft and commuter category aircraft excluding Gliders, Balloons, and Airships.
a) Air operations
(1) Unintentional loss of control.",,,,,,
1,4,,APPENDIX B,PART B,1,a2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(2) Landing outside of intended landing area.,,,,,,
1,4,,APPENDIX B,PART B,1,a3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(3) Aircraft's inability to achieve the required performance during take-off, climb, or landing.",,,,,,
1,4,,APPENDIX B,PART B,1,a4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(4) Runway incursion,,,,,,
1,4,,APPENDIX B,PART B,1,a5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(5) Runway excursion.,,,,,,
1,4,,APPENDIX B,PART B,1,a6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(6) Any flight performed with an aircraft that was not airworthy or for which flight preparation was not completed, which has or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,1,a7,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(7) Unintended flight into IMC (Instrument Meteorological Conditions) conditions of aircraft not IFR (Instrument flight rules) certified, or a pilot not qualified for IFR, which has
or could have endangered the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,1,a8,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(8) Unintentional release of cargo on a commercial operation.,,,,,,
1,4,,APPENDIX B,PART B,1,b1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(b) Technical occurrences
(1) Abnormal severe vibration (for example, aileron or elevator ‘flutter’ or of propeller).",,,,,,
1,4,,APPENDIX B,PART B,1,b2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(2) Any flight control not functioning correctly or disconnected.,,,,,,
1,4,,APPENDIX B,PART B,1,b3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(3) A failure or substantial deterioration of the aircraft structure.,,,,,,
1,4,,APPENDIX B,PART B,1,b4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(4) A loss of any part of the aircraft structure or installation in flight.,,,,,,
1,4,,APPENDIX B,PART B,1,b5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(5) A failure of an engine, rotor, propeller, fuel system, or other essential systems.",,,,,,
1,4,,APPENDIX B,PART B,1,b6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(6) Leakage of any fluid which resulted in a fire hazard or possible hazardous contamination of aircraft structure, systems, or equipment, or risk to occupants.",,,,,,
1,4,,APPENDIX B,PART B,1,c1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(c) Interaction with air navigation services and air traffic management
(1) Interactions with air navigation services (for example, incorrect services provided, conflicting communications, or deviation from clearance) have or could have endangered
the aircraft, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,1,c2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(2) Airspace infringement.,,,,,,
1,4,,APPENDIX B,PART B,1,d1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(d) Emergencies and other critical situations
(1) Any occurrence leading to an emergency call.",,,,,,
1,4,,APPENDIX B,PART B,1,d2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(2) Fire, explosion, smoke, toxic gases, or toxic fumes in the aircraft.",,,,,,
1,4,,APPENDIX B,PART B,1,d3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(3) Incapacitation of the pilot leads to the inability to perform any duty.,,,,,,
1,4,,APPENDIX B,PART B,1,e1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(e) External environment and meteorology
(1) A collision on the ground or in the air, with another aircraft, terrain, or obstacle
including, vehicles",,,,,,
1,4,,APPENDIX B,PART B,1,e2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(2) A near collision with another aircraft, terrain, or obstacle, including vehicles requiring an emergency avoidance maneuver to avoid a collision.",,,,,,
1,4,,APPENDIX B,PART B,1,e3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(3) Wildlife strikes, including bird strikes, resulted in damage to the aircraft or loss or malfunction of any essential service.",,,,,,
1,4,,APPENDIX B,PART B,1,e4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(4) Interference with the aircraft by firearms, fireworks, flying kites, laser illumination, high-powered lights lasers, Remotely Piloted Aircraft Systems, model aircraft, or similar means.",,,,,,
1,4,,APPENDIX B,PART B,1,e5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(5) A lightning strike resulting in damage to or loss of aircraft functions.,,,,,,
1,4,,APPENDIX B,PART B,1,e6,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships",(6) Severe turbulence resulted in injury to aircraft occupants or the need for a post-flight turbulence damage check of the aircraft.,,,,,,
1,4,,APPENDIX B,PART B,1,e7,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,"Other than Transport Aircraft and Commuter Category aircraft excluding Gliders, Balloons and Airships","(7) Icing, including carburetor icing, has endangered the aircraft, its occupants, or other persons.",,,,,,
1,4,,APPENDIX B,PART B,2,a1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"2. Sailplanes (Gliders)
(a) Air operations
(1) Unintentional loss of control.",,,,,,
1,4,,APPENDIX B,PART B,2,a2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(2) An occurrence where the sailplane pilot was unable to release either the winch cable or the aerotow rope and had to do so using emergency procedures.,,,,,,
1,4,,APPENDIX B,PART B,2,a3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(3) Any release of the winch cable or the aerotow rope if the release has or could have endangered the sailplane, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,2,a4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(4) In the case of a powered sailplane, an engine failure during take-off.",,,,,,
1,4,,APPENDIX B,PART B,2,a5,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(5) Any flight performed with a sailplane that was not airworthy or for which an incomplete flight preparation has or could have endangered the sailplane, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,2,b1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(b) Technical occurrences
(1) Abnormal severe vibration (for example, aileron or elevator ‘flutter’, or of propeller).",,,,,,
1,4,,APPENDIX B,PART B,2,b2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(2) Any flight control not functioning correctly or disconnected.,,,,,,
1,4,,APPENDIX B,PART B,2,b3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(3) A failure or substantial deterioration of the sailplane structure.,,,,,,
1,4,,APPENDIX B,PART B,2,b4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(4) A loss of any part of the sailplane structure or installation in flight.,,,,,,
1,4,,APPENDIX B,PART B,2,c1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(c) Interaction with air navigation services and air traffic management
(1) Interaction with air navigation services (for example, incorrect services provided, conflicting communications, or deviation from clearance) which has or could have endangered the sailplane, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,2,c2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(2) Airspace infringements.,,,,,,
1,4,,APPENDIX B,PART B,2,d1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(d) Emergencies and other critical situations
(1) Any occurrence leading to an emergency call.",,,,,,
1,4,,APPENDIX B,PART B,2,d2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(2) Any situation where no safe landing area remains available.,,,,,,
1,4,,APPENDIX B,PART B,2,d3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(3) Fire, explosion, smoke, or toxic gases or fumes in the sailplane.",,,,,,
1,4,,APPENDIX B,PART B,2,d4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(4) Incapacitation of the pilot leading to inability to perform any duty.,,,,,,
1,4,,APPENDIX B,PART B,2,e1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(e) External environment and meteorology
(1) A collision on the ground or in the air with an aircraft, terrain, or obstacle, including vehicles.",,,,,,
1,4,,APPENDIX B,PART B,2,e2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(2) A near collision with an aircraft, terrain, or obstacle, including vehicles requiring an emergency avoidance maneuver to avoid a collision.",,,,,,
1,4,,APPENDIX B,PART B,2,e3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),"(3) Interference with the sailplane by firearms, fireworks, flying kites, laser illumination, high-powered lights lasers, Remotely Piloted Aircraft Systems, model aircraft, or similar means.",,,,,,
1,4,,APPENDIX B,PART B,2,e4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Sailplanes(Gliders),(4) A lightning strike resulted in damage to the sailplane.,,,,,,
1,4,,APPENDIX B,PART B,3,a1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"3. Lighter-than-air Vehicles (Balloons and Airships)
(a) Air operations
(1) Any flight which has been performed with a lighter-than-air vehicle that was not airworthy or for which an incomplete flight preparation has or could have endangered the lighter-than-air vehicle, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,3,a2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),(2) Unintended permanent extinction of the pilot light.,,,,,,
1,4,,APPENDIX B,PART B,3,b1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(b) Technical occurrences
(1) Failure of any of the following parts or controls: dip tube on fuel cylinder, envelope pulley, control line, tether rope, valve seal leak on the burner, valve seal leak on fuel cylinder, carabiner, damage to the fuel line, lifting gas valve, envelope or ballonet, blower, pressure relief valve (gas balloon), winch (tethered gas balloons).",,,,,,
1,4,,APPENDIX B,PART B,3,b2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(2) Significant leakage or loss of lifting gas (for example, porosity, unseated lifting gas valves).",,,,,,
1,4,,APPENDIX B,PART B,3,c1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(c) Interaction with air navigation services and air traffic management
(1) Interaction with air navigation services (for example, incorrect services provided, conflicting communications, or deviation from clearance) which has or could have endangered the lighter-than-air vehicle, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,3,c2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),(2) Airspace infringement.,,,,,,
1,4,,APPENDIX B,PART B,3,d1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(d) Emergencies and other critical situations
(1) Any occurrence leading to an emergency call. Fire, explosion, smoke, or toxic fumes in the lighter-than-air vehicle (beyond the normal operation of the burner).",,,,,,
1,4,,APPENDIX B,PART B,3,d2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),(2) Lighter-than-air vehicle's occupants ejected from basket or gondola.,,,,,,
1,4,,APPENDIX B,PART B,3,d3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),(3) Incapacitation of the pilot leading to inability to perform any duty.,,,,,,
1,4,,APPENDIX B,PART B,3,d4,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(4) Unintended lift or drag of ground crew, leading to fatality or injury of a person.",,,,,,
1,4,,APPENDIX B,PART B,3,e1,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(e) External environment and meteorology
(1) A collision or near-collision with an aircraft, terrain, or obstacle (which has or could
have endangered the lighter-than-air vehicle, its occupants, or any other person.",,,,,,
1,4,,APPENDIX B,PART B,3,e2,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(2) Interference with the lighter-than-air vehicle by firearms, fireworks, flying kites, laser illumination, high-powered lights lasers, Remotely Piloted Aircraft Systems, model aircraft, or similar means.",,,,,,
1,4,,APPENDIX B,PART B,3,e3,-,,OCCURENCES RELATED TO THE AIRCRAFT OPERATIONS,Lighter-than-air Vehicles (Balloons and Airships),"(3) Unexpected encounter of adverse weather conditions which has or could have endangered the lighter-than-air vehicle, its occupants, or any other person.",,,,,,
1,4,,APPENDIX C,,1,,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Manufacturing,"Appendix C provides a list of aircraft maintenance occurrences. Certificate holders must report any other aircraft maintenance-related incidents and not listed in Appendix C.
1. Manufacturing
Products, parts, or appliances released from the production organization with deviations from applicable design data lead to an unsafe condition potentially as identified with the holder of
the type certificate or design approval.",,,,,,
1,4,,APPENDIX C,,2,,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Design,"2. Design
Any failure, malfunction, defect related to a product, part, or appliance which has resulted in ormay result in an unsafe condition.
Remark: This list is applicable to occurrences occurring on a product, part, or appliance coveredby the type certificate, restricted type-certificate, supplemental type-certificate, KSATSO authorization, major repair design approval, or any other relevant approval",,,,,,
1+3333:337,4,,APPENDIX C,,3,a,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"3. Maintenance and Continuing Airworthiness Management
(a) Serious structural damage (for example, cracks, permanent deformation, delamination, debonding, burning, excessive wear, or corrosion) found during maintenance of the aircraft or
component.",,,,,,
1,4,,APPENDIX C,,3,b,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(b) Serious leakage or contamination of fluids (for example, hydraulic, fuel, oil, gas, or other fluids).",,,,,,
1,4,,APPENDIX C,,3,c1,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,"(c) Failure or malfunction in an engine or powerplant or transmission parts resulting in any one
or more of the following:
(1) non-containment of components/debris.",,,,,,
1,4,,APPENDIX C,,3,c2,-,,OCCURENCES RELATED TO THE AIRCRAFT MAINTENANCE,Maintenanceand Continuing Airworthiness Management,(2) failure of the engine mount structure.,,,,,,
